trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.7370175669570794, 'e': 0.8291447628267137}",20,10,-18.757644230352703,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.7340019811078783, 'e': 0.8257522287463623}",20,0,-139.64687763901068,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
42,False,"{'a': 0.7309256376307507, 'e': 0.8222913423345939}",30,12,10.871329908667981,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.727789405121244, 'e': 0.8187630807613989}",20,0,-3.3119966550783833,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 0.7245941664188393, 'e': 0.8151684372211936}",30,14,-82.47885034040802,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 0}",1
45,False,"{'a': 0.7213408181934848, 'e': 0.8115084204676698}",25,0,-69.764982895922,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.7180302705270246, 'e': 0.8077840543429021}",20,0,-49.039594529214504,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.7146634464897947, 'e': 0.8039963773010186}",20,10,1.3955553210896607,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.7112412817126627, 'e': 0.800146441926745}",25,0,-55.30419603302382,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.7077647239547873, 'e': 0.7962353144491352}",30,0,-101.49199840147237,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.7042347326673773, 'e': 0.792264074250799}",25,0,-77.46150409361456,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.7006522785537295, 'e': 0.7882338133729451}",30,0,-90.28315896329168,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
52,False,"{'a': 0.6970183431258268, 'e': 0.7841456360165545}",20,0,-7.885243466970054,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.6933339182577808, 'e': 0.7800006580400027}",20,0,-53.53792348744102,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
