trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.7370175669570794, 'e': 0.8291447628267137}",20,0,-120.6624345159547,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
41,False,"{'a': 0.7340019811078783, 'e': 0.8257522287463623}",25,0,-113.68548118711689,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
42,False,"{'a': 0.7309256376307507, 'e': 0.8222913423345939}",25,0,-72.0605160116996,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.727789405121244, 'e': 0.8187630807613989}",35,11,-97.33004666179774,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 0}",1
44,False,"{'a': 0.7245941664188393, 'e': 0.8151684372211936}",25,0,-73.00391779052474,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.7213408181934848, 'e': 0.8115084204676698}",25,0,-144.63769610387087,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.7180302705270246, 'e': 0.8077840543429021}",30,0,-90.10881732790956,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
47,False,"{'a': 0.7146634464897947, 'e': 0.8039963773010186}",25,0,-95.23457480544054,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.7112412817126627, 'e': 0.800146441926745}",25,0,-69.9122813572256,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.7077647239547873, 'e': 0.7962353144491352}",20,3,-69.89392410358168,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.7042347326673773, 'e': 0.792264074250799}",20,4,-39.37579431056552,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.7006522785537295, 'e': 0.7882338133729451}",25,0,-106.18310093033443,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
52,False,"{'a': 0.6970183431258268, 'e': 0.7841456360165545}",20,0,-65.9928294950204,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
